groupId,name,abbreviation,isSupplemental,publishedOn,modifiedOn,categoryId
1375,Expedition,EX,False,2002-09-15T00:00:00,2023-09-16T15:25:07.567,3
1374,Legendary Collection,LC,False,2002-05-24T00:00:00,2023-11-08T04:57:01.483,3
1444,Neo Destiny,N4,False,2002-02-28T00:00:00,2023-07-17T13:02:59.383,3
1389,Neo Revelation,N3,False,2001-09-21T00:00:00,2023-10-20T13:42:31.093,3
648,Southern Islands,SI,False,2001-07-31T00:00:00,2022-12-05T18:49:48.873,3
1434,Neo Discovery,N2,False,2001-06-01T00:00:00,2023-10-19T16:23:11.447,3
1396,Neo Genesis,N1,False,2000-12-16T00:00:00,2023-10-11T09:00:49.16,3
1440,Gym Challenge,G2,False,2000-10-16T00:00:00,2023-11-06T08:40:39.193,3
1441,Gym Heroes,G1,False,2000-10-14T00:00:00,2023-11-10T08:32:40.72,3
1373,Team Rocket,TR,False,2000-04-24T00:00:00,2023-11-04T11:32:50.263,3
605,Base Set 2,BS2,False,2000-02-24T00:00:00,2023-10-23T09:34:35.79,3
630,Fossil,FO,False,1999-10-10T00:00:00,2023-11-06T19:00:17.38,3
1418,WoTC Promo,PR,False,1999-07-01T00:00:00,2023-11-08T16:04:31.62,3
635,Jungle,JU,False,1999-06-16T00:00:00,2023-10-28T16:18:20.533,3
604,Base Set,BS,False,1999-01-09T00:00:00,2023-11-06T19:00:24.91,3
1663,Base Set (Shadowless),BSS,False,1999-01-09T00:00:00,2023-11-08T16:02:10.007,3
2289,Blister Exclusives,BLE,True,1998-02-27T00:00:00,2023-11-04T02:50:33.497,3
1543,EX Trainer Kit 1: Latias & Latios,PR,False,2023-11-10T20:00:25.2178509Z,2022-12-01T21:06:57.287,3
1542,EX Trainer Kit 2: Plusle & Minun,PR,False,2023-11-10T20:00:25.2178509Z,2022-12-01T21:14:25.907,3
1423,Nintendo Promos,PR,False,2023-11-10T20:00:25.2178509Z,2023-10-14T07:17:05.39,3
1422,POP Series 1,POP,False,2023-11-10T20:00:25.2178509Z,2022-12-30T18:43:48.887,3
1447,POP Series 2,POP,False,2023-11-10T20:00:25.2178509Z,2022-12-13T16:06:43.05,3
1442,POP Series 3,POP,False,2023-11-10T20:00:25.2178509Z,2022-10-25T17:28:02.897,3
1452,POP Series 4,POP,False,2023-11-10T20:00:25.2178509Z,2023-02-01T15:02:28.727,3
1439,POP Series 5,POP,False,2023-11-10T20:00:25.2178509Z,2023-02-12T15:48:27.8,3
1432,POP Series 6,POP,False,2023-11-10T20:00:25.2178509Z,2023-02-01T18:24:12.023,3
1414,POP Series 7,POP,False,2023-11-10T20:00:25.2178509Z,2023-05-06T19:38:30.433,3
1450,POP Series 8,POP,False,2023-11-10T20:00:25.2178509Z,2023-08-21T17:23:45.673,3
1446,POP Series 9,POP,False,2023-11-10T20:00:25.2178509Z,2023-02-01T18:34:12.12,3
